Uso da CPU (%),Data e Hora,Nome do Programa
8.48,"2024-10-05 19:03:55.851483300 -03:00",SnippingTool.exe
5.31,"2024-10-05 19:03:56.497377100 -03:00",monitor_cpu.exe
8.78,"2024-10-05 19:03:56.779636300 -03:00",Taskmgr.exe
9.20,"2024-10-05 19:03:56.808915600 -03:00",Taskmgr.exe
9.83,"2024-10-05 19:03:56.869565100 -03:00",Taskmgr.exe
13.74,"2024-10-05 19:03:57.516182700 -03:00",SnippingTool.exe
11.00,"2024-10-05 19:03:57.795058300 -03:00",SnippingTool.exe
10.36,"2024-10-05 19:03:57.825437 -03:00",SnippingTool.exe
10.17,"2024-10-05 19:03:57.887730300 -03:00",SnippingTool.exe
8.53,"2024-10-05 19:03:58.531848100 -03:00",Taskmgr.exe
9.32,"2024-10-05 19:03:58.811789200 -03:00",Taskmgr.exe
9.97,"2024-10-05 19:03:58.855470 -03:00",monitor_cpu.exe
10.27,"2024-10-05 19:03:58.905087800 -03:00",monitor_cpu.exe
7.60,"2024-10-05 19:03:59.548108900 -03:00",Taskmgr.exe
7.15,"2024-10-05 19:03:59.828918100 -03:00",Taskmgr.exe
6.90,"2024-10-05 19:03:59.874647 -03:00",Taskmgr.exe
6.67,"2024-10-05 19:03:59.922458700 -03:00",Taskmgr.exe
10.49,"2024-10-05 19:04:00.565874100 -03:00",audiodg.exe
11.02,"2024-10-05 19:04:00.847833800 -03:00",SnippingTool.exe
10.84,"2024-10-05 19:04:00.893825700 -03:00",SnippingTool.exe
10.91,"2024-10-05 19:04:00.947011400 -03:00",SnippingTool.exe
9.59,"2024-10-05 19:04:01.582118800 -03:00",Taskmgr.exe
8.08,"2024-10-05 19:04:01.866081200 -03:00",Taskmgr.exe
7.97,"2024-10-05 19:04:01.914158300 -03:00",Taskmgr.exe
7.57,"2024-10-05 19:04:01.965808500 -03:00",Taskmgr.exe
6.38,"2024-10-05 19:04:02.600448100 -03:00",msedgewebview2.exe
7.80,"2024-10-05 19:04:02.884205900 -03:00",msedgewebview2.exe
7.74,"2024-10-05 19:04:02.932459400 -03:00",msedgewebview2.exe
7.75,"2024-10-05 19:04:02.982997500 -03:00",msedgewebview2.exe
11.49,"2024-10-05 19:04:03.620489400 -03:00",Taskmgr.exe
12.50,"2024-10-05 19:04:03.903980 -03:00",Taskmgr.exe
12.75,"2024-10-05 19:04:03.950650500 -03:00",Taskmgr.exe
12.98,"2024-10-05 19:04:04.000225500 -03:00",Taskmgr.exe
8.43,"2024-10-05 19:04:04.640487500 -03:00",Taskmgr.exe
7.58,"2024-10-05 19:04:04.921884300 -03:00",Taskmgr.exe
7.38,"2024-10-05 19:04:04.969887300 -03:00",Taskmgr.exe
7.03,"2024-10-05 19:04:05.017969900 -03:00",Taskmgr.exe
10.64,"2024-10-05 19:04:05.662524300 -03:00",monitor_cpu.exe
9.72,"2024-10-05 19:04:05.942703200 -03:00",SnippingTool.exe
9.90,"2024-10-05 19:04:05.988887200 -03:00",SnippingTool.exe
10.05,"2024-10-05 19:04:06.036449 -03:00",SnippingTool.exe
7.01,"2024-10-05 19:04:06.680573 -03:00",Taskmgr.exe
8.44,"2024-10-05 19:04:06.961256400 -03:00",Taskmgr.exe
9.15,"2024-10-05 19:04:07.009734900 -03:00",Taskmgr.exe
9.96,"2024-10-05 19:04:07.058819700 -03:00",Taskmgr.exe
18.61,"2024-10-05 19:04:07.704326200 -03:00",SnippingTool.exe
21.19,"2024-10-05 19:04:07.976849900 -03:00",RuntimeBroker.exe
20.12,"2024-10-05 19:04:08.026640 -03:00",monitor_cpu.exe
19.01,"2024-10-05 19:04:08.076289100 -03:00",monitor_cpu.exe
8.88,"2024-10-05 19:04:08.722750500 -03:00",monitor_cpu.exe
5.03,"2024-10-05 19:04:08.992101600 -03:00",monitor_cpu.exe
5.09,"2024-10-05 19:04:09.043717300 -03:00",monitor_cpu.exe
5.08,"2024-10-05 19:04:09.094739900 -03:00",monitor_cpu.exe
5.30,"2024-10-05 19:04:09.740770700 -03:00",monitor_cpu.exe
6.30,"2024-10-05 19:04:10.007507500 -03:00",monitor_cpu.exe
6.19,"2024-10-05 19:04:10.059270800 -03:00",monitor_cpu.exe
6.18,"2024-10-05 19:04:10.111556700 -03:00",monitor_cpu.exe
6.32,"2024-10-05 19:04:10.759982600 -03:00",Taskmgr.exe
5.44,"2024-10-05 19:04:11.024698100 -03:00",Taskmgr.exe
5.58,"2024-10-05 19:04:11.076976800 -03:00",monitor_cpu.exe
